y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1423-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,9,1,2015
1424-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,9,1,2015
1425-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,9,1,2015
1426-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,6,2,2015
1429-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,10,1,2015
1437-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1438-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1439-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1440-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,7,2,2015
1441-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1442-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,7,2,2015
1443-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1444-001,1,13,70208203024,2,2002.45812988281,7,DAR ES SALAAM,2,ILALA,6,2,2015
1456-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1457-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,12,2,2015
1458-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1459-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1460-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1461-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,14,2,2015
1462-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1463-001,1,13,70209203039,2,1820.98901367188,7,DAR ES SALAAM,2,ILALA,11,2,2015
1476-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,12,12,2014
1477-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,14,12,2014
1478-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,11,12,2014
1479-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,13,12,2014
1480-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,11,12,2014
1481-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,14,12,2014
1483-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,12,12,2014
1486-001,1,13,70214202014,2,997.271728515625,7,DAR ES SALAAM,2,ILALA,20,12,2014
1494-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,3,2015
1495-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,3,2015
1496-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,4,3,2015
1497-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,2,2015
1498-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,4,2,2015
1499-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,3,2015
1500-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,3,2015
1501-001,1,13,70219204037,2,2511.09204101563,7,DAR ES SALAAM,2,ILALA,3,3,2015
1513-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1514-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,7,3,2015
1515-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1516-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1517-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1518-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1519-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1520-001,1,13,70221202048,2,3154.76806640625,7,DAR ES SALAAM,2,ILALA,6,3,2015
1532-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,17,12,2014
1533-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,18,12,2014
1534-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,17,12,2014
1536-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,17,12,2014
1537-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,19,12,2014
1538-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,18,12,2014
1539-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,17,12,2014
1541-001,1,13,70224201025,2,2630.2314453125,7,DAR ES SALAAM,2,ILALA,17,12,2014
1551-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,15,1,2015
1552-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,14,1,2015
1553-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,15,1,2015
