y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
3534-001,4,50,530138302301,2,332.673217773438
3538-001,4,50,530138302301,2,332.673217773438
3546-001,4,51,530213203002,1,807.246520996094
3547-001,4,51,530213203002,1,807.246520996094
3548-001,4,51,530213203002,1,807.246520996094
3549-001,4,51,530213203002,1,807.246520996094
3550-001,4,51,530213203002,1,807.246520996094
3551-001,4,51,530213203002,1,807.246520996094
3552-001,4,51,530213203002,1,807.246520996094
3553-001,4,51,530213203002,1,807.246520996094
3565-001,4,51,530224202002,1,646.5458984375
3566-001,4,51,530224202002,1,646.5458984375
3567-001,4,51,530224202002,1,646.5458984375
3568-001,4,51,530224202002,1,646.5458984375
3569-001,4,51,530224202002,1,646.5458984375
3570-001,4,51,530224202002,1,646.5458984375
3571-001,4,51,530224202002,1,646.5458984375
3572-001,4,51,530224202002,1,646.5458984375
3584-001,4,51,530241204003,1,989.355590820313
3585-001,4,51,530241204003,1,989.355590820313
3586-001,4,51,530241204003,1,989.355590820313
3587-001,4,51,530241204003,1,989.355590820313
3588-001,4,51,530241204003,1,989.355590820313
3589-001,4,51,530241204003,1,989.355590820313
3590-001,4,51,530241204003,1,989.355590820313
3591-001,4,51,530241204003,1,989.355590820313
3603-001,3,10,50119302001,1,6273.90576171875
3604-001,3,10,50119302001,1,6273.90576171875
3605-001,3,10,50119302001,1,6273.90576171875
3606-001,3,10,50119302001,1,6273.90576171875
3607-001,3,10,50119302001,1,6273.90576171875
3608-001,3,10,50119302001,1,6273.90576171875
3609-001,3,10,50119302001,1,6273.90576171875
3610-001,3,10,50119302001,1,6273.90576171875
3622-001,2,9,50119303318,2,2591.40014648438
3625-001,2,9,50119303318,2,2591.40014648438
3626-001,2,9,50119303318,2,2591.40014648438
3627-001,2,9,50119303318,2,2591.40014648438
3628-001,2,9,50119303318,2,2591.40014648438
3629-001,2,9,50119303318,2,2591.40014648438
3630-001,2,9,50119303318,2,2591.40014648438
3632-001,2,9,50119303318,2,2591.40014648438
3641-001,3,10,50220103002,1,8725.009765625
3642-001,3,10,50220103002,1,8725.009765625
3643-001,3,10,50220103002,1,8725.009765625
3644-001,3,10,50220103002,1,8725.009765625
3645-001,3,10,50220103002,1,8725.009765625
3646-001,3,10,50220103002,1,8725.009765625
3647-001,3,10,50220103002,1,8725.009765625
3648-001,3,10,50220103002,1,8725.009765625
3660-001,3,10,50401101008,1,6004.859375
3661-001,3,10,50401101008,1,6004.859375
3662-001,3,10,50401101008,1,6004.859375
3663-001,3,10,50401101008,1,6004.859375
3664-001,3,10,50401101008,1,6004.859375
3665-001,3,10,50401101008,1,6004.859375
3666-001,3,10,50401101008,1,6004.859375
3667-001,3,10,50401101008,1,6004.859375
3679-001,2,9,50505210001,2,7652.7275390625
3682-001,2,9,50505210001,2,7652.7275390625
3684-001,2,9,50505210001,2,7652.7275390625
3685-001,2,9,50505210001,2,7652.7275390625
